지표연도,학교명,설립구분,지역,학부 정원내 재학생수,학부 정원내외 재학생수,학부 및 대학원 재학생수,학부 및 대학원 재학생수,학부 및 대학원 재학생수,전임교원수(명),교원법정정원(명),전임교원 확보율,시설면적(㎡),기준면적(㎡),교사 확보율,정원내 입학자수(명),정원내 모집인원(명),정원내 신입생 충원율,정원내 재학생수(명),학생정원-학생모집정지인원(명),정원내 재학생 충원율,총교육비(천원),등록금(천원),교육비 환원율,장학금(천원),등록금(천원),장학금 비율,등록금(천원),운영수입(세입총액)(천원),[1.2.1] 세입 중 등록금 비율,기부금(천원),운영수입(세입총액)(천원),[1.2.1] 세입 중 기부금 비율,법인전입금(천원),운영수입(천원),[1.2.1] 세입 중 법인전입금 비율(사립대),강사료 계(원),강의시간수 계(시간),[3.1.2] 시간강사 강의료,교내연구비(천원),전임교원수(명),[3.1.3] 전임교원 1인당 교내연구비,학부 및 대학원 재학생수,직원수(명),[3.2.1] 직원 1인당 학생수,수용인원(명),재학생수(명),[4.1.2] 기숙사 수용률,자료구입비(원),학생수(명),[4.1.3] 재학생 1인당 연간 자료구입비(결산),도서관직원수(명),학부 및 대학원 재학생수,"[4.1.3] 재학생 1,000명당 도서관 직원수",등재(후보)지 논문 건수(건),전임교원수(명),[5.1.1] 전임교원 1인당 등재(후보)지 논문 실적,SCI급 논문 건수(건),전임교원수(명),[5.1.1] 전임교원 1인당 SCI급 논문 실적,저역서수(건),전임교원수(명),[5.1.1] 전임교원 1인당 저역서 실적,교외연구비(천원),전임교원수(명),[5.1.1] 전임교원 1인당 교외연구비,[5.1.1] 연구성과 기준값 대비 실적,취업자(명),졸업자(명),[5.1.2] 졸업생의 취업률
2020,가야대학교,사립,경남,1998,2176,2277,2277,2277,97,129,75.19379,43038,35376,121.65875,469,573,81.84991,1998,2434,82.08709,24321386.42,16692628.5,145.70135,3589650.713,15988656.8,22.45123,16692628.5,26533747.79,62.91093,106072,26533747.79,0.39976,380000,26533747.79,1.43213,192192000,3696,52000.0,47750,97,492.26804,2277,75,30.36,672,2207,30.44857,138760560,2549,54437.25382,2.8,2277,1.22968,54.9954,97,0.56696,5.1,97,0.05257,3.0846,97,0.0318,76305,97,786.64948,3.20439,463,601,77.03826
2020,가천대학교,사립,경기,16318,18678,21077,21077,21077,680,987,68.89564,363964,264710,137.49537,3764,3766,99.94689,16318,15374,106.14023,272565536.9,167416184.9,162.80716,29892114.09,141795229.4,21.08118,167416184.9,249585785.2,67.07761,1509901.547,249585785.2,0.60496,5344000,249585785.2,2.14114,1233435000,22082,55857.03287,6200900,905,6851.8232,21077,317,66.48895,2413,20021,12.05234,2131706235,20801,102480.94971,21.2,21077,1.00583,384.2698,905,0.4246,526.8803,905,0.58218,32.6952,905,0.03612,48926301,905,54062.21104,18.77925,2334,3473,67.20414
2020,가톨릭관동대학교,사립,강원,7474,8107,8518,8518,8518,303,415,73.01204,142167,136492,104.15775,2075,2092,99.18738,7474,8498,87.9501,103053104.4,59442578.18,173.3658,8724464.303,56406882.15,15.46702,59442578.18,104151016.3,57.07344,1776142.911,104151016.3,1.70535,2415000,104151016.3,2.31874,269929800,5013.7,53838.44266,401400,423,948.93617,8518,231,36.87445,2990,8220,36.37469,792449292,8474,93515.3755,7.8,8518,0.9157,182.7459,423,0.43202,82.6449,423,0.19537,25.6663,423,0.06067,5162745,423,12205.07092,7.22923,983,1746,56.30011
2020,가톨릭대학교,사립,경기,7477,8317,10484,10484,10484,363,466,77.89699,213337,134012,159.19246,1694,1696,99.88207,7477,7086,105.51792,249233646.3,83917867.27,296.99711,11039677.35,56866445.87,19.41334,83917867.27,201209972.9,41.70661,7155531.692,201209972.9,3.55625,36712641.51,201209972.9,18.24593,1056533295,19812,53327.94745,4860812,1169,4158.09409,10484,477,21.97903,1661,9413,17.6458,4088410834,10503,389261.24288,24.2,10484,2.30827,274.6386,1169,0.23493,745.5055,1169,0.63772,38.9024,1169,0.03327,104532463,1169,89420.41317,22.84327,972,1549,62.75016
2020,감리교신학대학교,사립,서울,770,814,1526,1526,1526,25,76,32.89473,24787,15744,157.43775,191,202,94.55445,770,800,96.25,11194189.11,9278892.45,120.64143,741888.938,4942477.54,15.01046,9278892.45,14717197.33,63.04795,509490.102,14717197.33,3.46186,1620909.306,14717197.33,11.0137,,,,0,25,0,1526,31,49.2258,300,1403,21.38275,149904175,1544,97088.19624,2,1526,1.31061,18.5,25,0.74,1.5,25,0.06,1.1,25,0.044,0,25,0,2.74285,0,0,0
2020,강남대학교,사립,경기,6054,6695,7101,7101,7101,238,316,75.31645,93781,79236,118.35655,1500,1500,100,6054,5986,101.13598,65954356.79,52900341.91,124.67661,7896985.9,48616194.73,16.24352,52900341.91,75714579.5,69.8681,917020.521,75714579.5,1.21115,530000,75714579.5,0.69999,521406500,9738.1,53542.93958,148658,238,624.61344,7101,171,41.52631,940,6879,13.66477,480635808,7152,67202.99328,6.7,7101,0.94352,154.177,238,0.6478,19.7094,238,0.08281,19.8438,238,0.08337,1965070,238,8256.59663,7.17026,892,1487,59.98655
2020,강릉원주대학교,국립,강원,7282,7836,8487,8487,8487,235,291,80.75601,236455,128190,184.45666,1830,1835,99.72752,7282,7412,98.24608,113746239.4,29542588.24,385.02462,7080193.855,32223311.18,21.97227,29542588.24,108896439,27.12906,920209.451,108896439,0.84503,,,,1365923200,15142,90207.58156,548336,375,1462.22933,8487,378,22.45238,2821,8141,34.65176,724826870,8473,85545.48211,14.4,8487,1.69671,185.4411,375,0.4945,87.6563,375,0.23375,57.2653,375,0.1527,15867370,375,42312.98666,12.50072,943,1628,57.92383
2020,강원대학교,국립,강원,18074,19587,22114,22114,22114,206,311,66.23794,531427,341346,155.68572,4486,4501,99.66674,18074,18255,99.00849,329606264.2,81131208.04,406.26322,15675892.15,69135870.5,22.67403,81131208.04,301681522.6,26.89299,9902715.346,301681522.6,3.2825,,,,4840107090,59987.6,80685.12642,2435610,1004,2425.90637,22114,812,27.23399,7298,21531,33.89531,2971577588,22414,132576.85321,28.4,22114,1.28425,617.7941,1004,0.61533,480.9937,1004,0.47907,90.9497,1004,0.09058,72676716,1004,72387.16733,19.87246,2318,3948,58.71327
2020,건국대학교,사립,서울,12975,15764,20085,20085,20085,660,969,68.11145,351540,240814,145.97988,2990,3012,99.26958,12975,12138,106.89569,430984285.7,236366078.9,182.33762,25241157.28,124703031.4,20.24101,236366078.9,365116702.2,64.73713,8229150.423,365116702.2,2.25384,4968822,365116702.2,1.36088,882156000,16930.5,52104.54505,6280564,689,9115.4775,20085,538,37.33271,3309,17518,18.88914,2500000000,20277,123292.40025,22.7,20085,1.13019,430.6792,689,0.62507,466.187,689,0.67661,56.6512,689,0.08222,70719238,689,102640.40348,26.75686,1777,2700,65.81481
2020,건국대학교(글로컬),사립,충북,6300,6995,7402,7402,7402,255,341,74.78005,129083,108694,118.75816,1553,1555,99.87138,6300,6231,101.10736,,,,11246071.6,56314894.33,19.96997,,,,,,,,,,447828000,8040,55700.0,1253383,462,2712.95021,7402,177,41.8192,2338,7330,31.89631,830181562,7667,108279.84374,9,7402,1.21588,177.0065,462,0.38313,179.3782,462,0.38826,27.1638,462,0.05879,17151013,462,37123.40476,13.41223,1002,1588,63.09823
